City,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average AQI(2024),Latitude,Longitude
Barbil,Odisha,90,67.4,57.7,75.3,43,32.6,14.3,24.3,30.9,39.3,67.5,70.1,51.03333333,22.1048613,85.3690447
Baripada,Odisha,111.8,94.2,65.7,81.4,28.2,31,18,21.7,16.3,31.5,54,67.8,51.8,21.9342456,86.7308825
Karauli,Rajasthan,126,97.3,31.8,34.8,29.9,46.6,21.9,10.1,22.4,46.5,80.6,37.3,48.76666667,26.4530971,77.0160461
Bharatpur,Rajasthan,92.4,29.4,49.6,82.5,73.7,48.2,15.3,7.4,15.3,50.9,84,57.4,50.50833333,27.0246959,77.2920116
Badlapur,Maharashtra,81.2,63.5,65,63.1,36.7,31.2,18.9,21.1,28.1,46.9,84.2,60.8,50.05833333,19.1666237,73.2389064
Khanna,Punjab,56.7,42.8,37.7,40.3,60.7,51.8,32.1,36.7,39.2,62.2,84.6,52.5,49.775,30.700625,76.2220763
Boisar,Maharashtra,85.1,71.2,53.2,49,39.1,37.9,27.6,23.5,29.3,48.7,77.9,73.9,51.36666667,19.7984865,72.761452
Jalgaon,Maharashtra,54.6,62,67.3,56.8,50.6,26.3,14.9,16.9,24.5,56,100.6,53.6,48.675,20.8428826,75.5261246
Motihari,Bihar,86.4,68,38.6,38.6,37.3,33,30.5,22.2,24.2,29,73.1,82.5,46.95,26.6506888,84.9114654
Jalandhar,Punjab,72.1,48.3,39.2,30.8,54.5,52.6,32.7,27.9,26.2,53.1,94.3,52.9,48.71666667,31.2922311,75.5678878
Fatehabad,Haryana,77.8,59,38.3,27.8,61.4,44,17.2,17.1,30,75.6,103.7,52.8,50.39166667,29.5359209,75.5752901
Vapi,Gujarat,103,99.8,47.1,34.6,24.1,13.2,13.4,17.8,17.7,39.5,69.6,88.7,47.375,20.3735482,72.9084376
Rupnagar,Punjab,87.9,40.1,46.5,42.6,73,45.1,30.3,18.5,26.8,46.6,72.8,49.4,48.3,31.0917102,76.5289701
Karnal,Haryana,64,35.1,44.2,44.8,60.2,48,17,24.6,29.8,63.9,94.3,52,48.15833333,29.7255766,76.9106924
Gaya,Bihar,85.4,54.5,47.2,42.6,42,37.3,22.7,20.1,25,53.6,79.3,66.4,48.00833333,24.6793889,85.0115833
Patiala,Punjab,69.6,47.1,42,40.1,51.2,50.1,26.6,17.4,26.6,60.3,91.9,53.6,48.04166667,30.2092777,76.3397231
Narnaul,Haryana,54.3,38.1,31.2,43.5,67.1,36.5,25.1,29.3,32.9,45.5,93.3,96.8,49.46666667,28.0438456,76.1062015
Baghpat,Uttar Pradesh,98.9,61.1,39.6,44.2,56.3,32.6,10.7,6.6,16.3,39.9,108.2,56.7,47.59166667,29.0374779,77.3062737
Dhule,Maharashtra,66.6,63.5,63.4,52.2,48.8,32.1,19.6,17.5,22.3,42.3,88.8,53.2,47.525,21.1305215,74.4900614
Nagaon,Assam,94.2,91.7,60.7,52.5,48.4,39.4,16.5,15.4,36.4,21.3,31.1,67.2,47.9,26.3313646,92.7524763
Byasanagar,Odisha,104.1,72.6,43.7,57.2,21.3,24.2,14.5,19,18.6,35.7,67.1,76.7,46.225,20.9587602,86.1226688
Banswara,Rajasthan,69.2,53.1,39.3,47.4,86.1,31.1,24.9,25.1,23.6,39.5,63.5,63.2,47.16666667,23.4915046,74.3502172
Dehradun,Uttarakhand,108.3,51.5,39.4,36.2,54.8,37.2,17.7,13,17.8,48.4,77.2,56.8,46.525,30.3255646,78.0436813
Bhiwandi,Maharashtra,78.5,53,54.7,38.9,45.1,32.9,24.1,20.2,25,44.7,88.2,67.4,47.725,19.3025562,73.0588072
Sirsa,Haryana,59.8,40.2,35.1,39.2,62.5,53.9,15.2,9.1,18.2,59.3,123,56.4,47.65833333,29.6063041,74.9036568
Pithampur,Madhya Pradesh,72.3,52.3,42.8,36,31.5,27.3,22.4,23.4,34.3,64.4,73.2,82.6,46.875,22.6105576,75.6790283
Nagpur,Maharashtra,75.8,57.6,53,45,42.4,26.8,16.1,17.6,24.8,49.9,82.2,68.2,46.61666667,21.5071955,78.9725097
Kashipur,Uttarakhand,81.3,51.3,45.9,43.5,51.4,40.3,24.8,29,23.5,48.4,66.2,51.4,46.41666667,29.2117573,78.9617306
Nayagarh,Odisha,75.3,69.9,66.3,90.2,44.2,38.3,15.1,17.5,18.8,21.8,37.8,55.4,45.88333333,20.2393682,85.050728
Suakati,Odisha,83,61.9,61.1,66.5,39.7,32.5,17,19.5,23.7,36.8,65.4,52.5,46.63333333,20.1231,85.1038
Pimpri Chinchwad,Maharashtra,79.8,76.8,58.6,49.7,36.8,16.6,12.7,13.2,16.7,39.1,93.9,62.2,46.34166667,18.6279288,73.8009829
Bhubaneswar,Odisha,114.8,64.4,35.8,48.5,22.9,23.5,17.8,15.7,17.8,31.3,74.7,81.2,45.7,20.2602964,85.8394521
Rairangpur,Odisha,83.5,50.7,47.9,60.5,36.4,38.5,22,23.6,24,40.8,62.1,58.1,45.675,22.215745,86.2325462
Kolkata,West Bengal,104.6,68.9,44.8,41.7,20.2,21.7,16.7,21.1,21,36.5,74.4,76.6,45.68333333,22.5726459,88.3638953
